O [4, 4]
C [3, 4]
E [3, 3]
C [2, 3]
E [2, 2]
D [2, 3]
B [3, 3]
D [3, 4]
D [3, 5]
C [2, 5]
D [2, 6]
D [2, 7]
E [2, 6]
E [2, 5]
B [3, 5]
B [4, 5]
B [5, 5]
E [5, 4]
E [5, 3]
E [5, 2]
C [4, 2]
B [5, 2]
D [5, 3]
D [5, 4]
D [5, 5]
D [5, 6]
D [5, 7]
C [4, 7]
B [5, 7]
B [6, 7]
B [7, 7]
E [7, 6]
E [7, 5]
E [7, 4]
E [7, 3]
E [7, 2]
B [8, 2]
B [9, 2]
B [10, 2]
D [10, 3]
D [10, 4]
D [10, 5]
B [11, 5]
B [12, 5]
E [12, 4]
E [12, 3]
C [11, 3]
B [12, 3]
E [12, 2]
D [11, 3]
B [12, 3]
B [13, 3]
B [14, 3]
C [13, 3]
C [12, 2]
D [11, 3]
B [12, 3]
D [12, 4]
D [12, 5]
D [12, 6]
D [12, 7]
B [13, 7]
B [14, 7]
E [14, 6]
E [14, 5]
B [15, 5]
B [16, 5]
B [17, 5]
E [17, 4]
E [17, 3]
C [16, 3]
B [17, 3]
B [18, 3]
E [18, 2]
D [18, 3]
C [16, 3]
B [17, 3]
D [17, 4]
D [17, 5]
B [18, 5]
D [18, 6]
D [18, 7]
D [18, 8]
